Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks,Classifier Output
13685,796304,1.769498,12232.466498,12232.466498,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796305,1.801284,12232.498284,12232.498284,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796306,1.806256,12232.503256,12232.503256,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,4,-99.000000
13685,796307,1.845326,12232.542326,12232.542326,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796308,1.863924,12232.560924,12232.560924,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796309,1.873335,12232.570335,12232.570335,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796310,1.896126,12232.593126,12232.593126,1, 0, 0, 1,144.375520,-73.791212,-725.364241,2,2,-0.122850
13685,796311,1.902495,12232.599495,12232.599495,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796312,1.916620,12232.613620,12232.613620,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796313,1.942389,12232.639389,12232.639389,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796314,1.947607,12232.644607,12232.644607,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796315,1.972018,12232.669018,12232.669018,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796316,1.975427,12232.672427,12232.672427,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796317,2.002117,12232.699117,12232.699117,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796318,2.028752,12232.725752,12232.725752,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796319,2.054061,12232.751061,12232.751061,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,5,-99.000000
13685,796320,2.065737,12232.762737,12232.762737,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796321,2.072615,12232.769615,12232.769615,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796322,2.087386,12232.784386,12232.784386,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796323,2.101744,12232.798744,12232.798744,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796324,2.119854,12232.816854,12232.816854,1, 0, 0, 1,4.588196,-1.448139,-787.677577,2,2,-0.114926
13685,796325,2.145673,12232.842673,12232.842673,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796326,2.158562,12232.855562,12232.855562,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796327,2.192117,12232.889117,12232.889117,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796328,2.196174,12232.893174,12232.893174,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796329,2.202223,12232.899223,12232.899223,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796330,2.209153,12232.906153,12232.906153,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796331,2.217905,12232.914905,12232.914905,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796332,2.236954,12232.933954,12232.933954,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796333,2.264984,12232.961984,12232.961984,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796334,2.275898,12232.972898,12232.972898,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796335,2.285427,12232.982427,12232.982427,1, 0, 0, 1,15.931601,-9.500827,470.427259,2,2,-0.112685
13685,796336,2.302819,12232.999819,12232.999819,1, 0, 0, 1,-55.248096,-45.458154,594.806829,2,3,-0.082659
13685,796337,2.309329,12233.006329,12233.006329,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796338,2.340161,12233.037161,12233.037161,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796339,2.344389,12233.041389,12233.041389,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
